Neptune X	Neptune Y
-1.7105215983713271E12	4.16131385027904E12
-1.7286986476746235E12	4.1540402086740513E12
-1.7468430162245784E12	4.146688038767149E12
-1.7649543655485244E12	4.139257491196373E12
-1.7830323578893843E12	4.131748717992314E12
-1.8010766562149397E12	4.1241618725743115E12
-1.819086924227849E12	4.116497109748276E12
-1.837062826375306E12	4.1087545857045386E12
-1.8550040278593467E12	4.1009344580173267E12
-1.8729101946450796E12	4.0930368856448677E12
-1.8907809934685146E12	4.085062028926489E12
-1.9086160918467268E12	4.0770100495816157E12
-1.926415158086523E12	4.0688811107106387E12
-1.944177861292445E12	4.0606753767942715E12
-1.9619038713747612E12	4.052393013693514E12
-1.9795928590567444E12	4.0440341886483696E12
-1.997244495883706E12	4.0355990702772095E12
-2.014858454230999E12	4.027087828578825E12
-2.032434407309714E12	4.0185006349314785E12
-2.0499720291742385E12	4.0098376620913975E12
-2.0674709947297551E12	4.00109908419293E12
-2.0849309797392842E12	3.992285076748274E12
-2.1023516608306313E12	3.9833958166481387E12
-2.1197327155014126E12	3.9744314821607417E12
-2.13707382212575E12	3.965392252929524E12
-2.154374659961653E12	3.956278309973872E12
-2.1716349091561245E12	3.947089835688946E12
-2.188854250750335E12	3.937827013843955E12
-2.2060323666849126E12	3.9284900295806504E12
-2.223168939805473E12	3.9190790694110723E12
-2.240263653868931E12	3.909594321217296E12
-2.257316193547173E12	3.900035974250527E12
-2.2743262444309194E12	3.89040421912739E12
-2.291293493035061E12	3.8806992478277593E12
-2.30821762680291E12	3.870921253692817E12
-2.325098334110242E12	3.8610704314227095E12
-2.3419353042680913E12	3.851146977073827E12
-2.3587282275255645E12	3.84115108805363E12
-2.375476795074639E12	3.831082963117256E12
-2.3921806990530684E12	3.820942802365258E12
-2.408839632546046E12	3.8107308072384585E12
-2.4254532895888604E12	3.8004471805130327E12
-2.442021365169003E12	3.7900921262950054E12
-2.4585435552291294E12	3.7796658500149673E12
-2.475019556668878E12	3.769168558423936E12
-2.491449067344713E12	3.758600459585805E12
-2.5078317860723228E12	3.74796176286944E12
-2.5241674126287754E12	3.737252678943074E12
-2.5404556477533223E12	3.7264734197670264E12
-2.5566961931485356E12	3.715624198586274E12
-2.5728887514803716E12	3.704705229921751E12
-2.589033026379834E12	3.6937167295605356E12
-2.6051287224454033E12	3.682658914548836E12
-2.6211755452426704E12	3.671532003183021E12
-2.63717320130526E12	3.6603362149985767E12
-2.6531213981369414E12	3.6490717707604404E12
-2.669019844213464E12	3.637738892452855E12
-2.6848682489852617E12	3.6263378032700356E12
-2.700666322878577E12	3.6148687276060967E12
-2.716413777297553E12	3.6033318910425415E12
-2.7321103246290635E12	3.5917275203381035E12
-2.7477556782462524E12	3.580055843419252E12
-2.763349552512344E12	3.568317089369076E12
-2.778891662785489E12	3.5565114884166772E12
-2.794381725424401E12	3.544639271925944E12
-2.809819457796506E12	3.532700672386291E12
-2.8252045782850093E12	3.5206959234047173E12
-2.8405368062957666E12	3.5086252596955537E12
-2.855815862267191E12	3.4964889170715273E12
-2.871041467680688E12	3.4842871324366035E12
-2.8862133450719326E12	3.472020143779456E12
-2.9013312180423145E12	3.4596881901684365E12
-2.9163948112702505E12	3.447291511745394E12
-2.9314038505256665E12	3.4348303497213774E12
-2.946358062684626E12	3.422304946375937E12
-2.9612571757422847E12	3.409715545055795E12
-2.9761009188270986E12	3.397062390174478E12
-2.990889022214774E12	3.3843457272132437E12
-3.005621217342967E12	3.3715658027230796E12
-3.020297236825655E12	3.358722864330002E12
-3.034916814464053E12	3.3458171607394263E12
-3.049479685258343E12	3.3328489417398906E12
-3.0639855854194155E12	3.3198184582099707E12
-3.0784342523774854E12	3.306725962125052E12
-3.09282542478952E12	3.2935717065640225E12
-3.107158842543747E12	3.280355945715428E12
-3.12143424676308E12	3.2670789348814937E12
-3.1356513798088306E12	3.253740930483876E12
-3.149809985279956E12	3.2403421900686323E12
-3.1639098080103535E12	3.2268829723072773E12
-3.1779505940663145E12	3.213363536997457E12
-3.191932090742095E12	3.199784145062051E12
-3.2058540465552725E12	3.1861450585471084E12
-3.219716211239745E12	3.172446540618523E12
-3.2335183357373765E12	3.158688855554225E12
-3.247260172192276E12	3.144872268735946E12
-3.2609414739442847E12	3.1309970466410923E12
-3.274561995521566E12	3.117063456831935E12
-3.2881214926341577E12	3.1030717679437305E12
-3.301619722167758E12	3.0890222496710713E12
-3.3150564421802266E12	3.0749151727541343E12
-3.328431411898231E12	3.060750808966409E12
-3.341744391712658E12	3.0465294310998315E12
-3.354995143176837E12	3.032251312949281E12
-3.3681834290062417E12	3.0179167292985474E12
-3.3813090130789653E12	3.0035259559062896E12
-3.394371660437074E12	2.989079269493307E12
-3.407371137286973E12	2.9745769477287446E12
-3.420307211002636E12	2.960019269215958E12
-3.4331796501307134E12	2.9454065134817524E12
-3.4459882243937153E12	2.9307389609654326E12
-3.458732704694453E12	2.916016893007372E12
-3.471412863120906E12	2.9012405918387354E12
-3.4840284729521846E12	2.8864103405709854E12
-3.4965793086661694E12	2.8715264231881997E12
-3.5090651459446094E12	2.8565891245396772E12
-3.5214857616787354E12	2.841598730330452E12
